tapt/run_id,tapt/run_name,tapt/duration_s,tapt/avg_epoch_time_s,tapt/train/avg_epoch_loss,tapt/train/gpu_mem_peak_mb,tapt/stage,dataset,arch,pretrain/run_id,pretrain/run_name,pretrain/duration_s,pretrain/avg_epoch_time_s,pretrain/train/avg_epoch_loss,pretrain/train/gpu_mem_peak_mb,pretrain/stage,finetune/run_id,finetune/run_name,finetune/duration_s,finetune/avg_epoch_time_s,finetune/test/f1_macro,finetune/train/gpu_mem_peak_mb,finetune/stage,finetune/train/gpu_mem_peak_gb,tapt/train/gpu_mem_peak_gb,pretrain/train/gpu_mem_peak_gb,finetune/duration_min,tapt/duration_min,pretrain/duration_min,pretrain/avg_epoch_time_min,tapt/avg_epoch_time_min,finetune/avg_epoch_time_min,finetune_tapt/duration_min,finetune_tapt/train/gpu_mem_peak_gb,finetune_tapt/train/gpu_mem_peak_gb_pct_vs_mha,finetune_tapt/duration_min_pct_vs_mha,finetune/test/f1_macro_pp_vs_mha,finetune/test/f1_macro_pp_vs_baseline,pretrain/train/gpu_mem_peak_gb_pct_vs_mha,pretrain/avg_epoch_time_min_pct_vs_mha
t67wmtc1,E2_pretraining_arxiv_bertsmall_favor_nb0.125,4140.682854753,2070.3414273765,5.0327676028683,16991.53759765625,tapt,arxiv,favor_nb0.125,z28fmtgo,E2_pretraining_wikipedia_bertsmall_favor_nb0.125,6593.419116918,659.3419116918001,3.0694842641878104,17017.97607421875,pretrain,fs5plm2w,E2_finetuning_arxiv_bertsmall_favor_nb0.125,5314.207820074,1328.5519550185,86.02075511163925,5725.7001953125,finetune,5.591504096984863,16.59329843521118,16.619117259979248,88.57013033456666,69.01138091255001,109.8903186153,10.989031861530002,34.505690456275005,22.142532583641664,157.58151124711668,16.59329843521118,14.859150724701495,-56.32175342413862,-2.3590259150468142,2.400755111639242,15.096403532847264,39.438455401466115
aplguq3f,E2_pretraining_arxiv_bertsmall_favor_nb0.25,4649.542211457,2324.7711057285,4.79694456106355,18783.69677734375,tapt,arxiv,favor_nb0.25,0itox8yh,E2_pretraining_wikipedia_bertsmall_favor_nb0.25,7271.608264293,727.1608264293,2.694387582411862,18842.97607421875,pretrain,tug4ff1q,E2_finetuning_arxiv_bertsmall_favor_nb0.25,6291.965837506,1572.9914593765,86.52193385420391,7517.0927734375,finetune,7.340910911560059,18.343453884124756,18.401343822479248,104.86609729176666,77.49237019095,121.19347107155,12.119347107154999,38.746185095475,26.216524322941666,182.35846748271666,18.343453884124756,26.973762493019482,-49.45410762424048,-1.8578471724821526,2.9019338542039037,27.43928940431475,53.78088464843478
k9km9nuj,E2_pretraining_arxiv_bertsmall_favor_nb0.5,5686.842252382,2843.421126191,4.631719501462969,22371.81591796875,tapt,arxiv,favor_nb0.5,yjcapkj3,E2_pretraining_wikipedia_bertsmall_favor_nb0.5,9173.221722392,917.3221722392,2.666425063559006,22493.97607421875,pretrain,3ksmzwr0,E2_finetuning_arxiv_bertsmall_favor_nb0.5,8319.524131796,2079.881032949,86.52968153310123,11104.3505859375,finetune,10.84409236907959,21.847476482391357,21.966773509979248,138.65873552993335,94.78070420636666,152.88702870653333,15.288702870653333,47.39035210318333,34.66468388248334,233.43943973630002,21.847476482391357,51.22867849591734,-35.295547500217225,-1.8500994935848354,2.909681533101221,52.13182437238476,93.99644484050545
p0sm9w3v,E2_pretraining_arxiv_bertsmall_favor_nb1,7790.235804918,3895.117902459,4.31646792040213,29547.30810546875,tapt,arxiv,favor_nb1,noug0x9s,E2_pretraining_wikipedia_bertsmall_favor_nb1,13037.930544947,1303.7930544946998,2.5787582328125622,29795.48779296875,pretrain,0zr9387l,E2_finetuning_arxiv_bertsmall_favor_nb1,12386.017914689,3096.50447867225,85.5688460258062,18783.64501953125,finetune,18.343403339385986,28.854793071746826,29.097156047821045,206.43363191148333,129.83726341530001,217.29884241578333,21.72988424157833,64.91863170765001,51.60840797787083,336.2708953267834,28.854793071746826,99.73346706794531,-6.7928530058588095,-2.8109350008798657,1.9488460258061906,101.51359195250183,175.72779230039262
4h910kzj,E2_pretraining_arxiv_bertsmall_lsh_h2_c128,5230.441201558,2615.220600779,2.2237315314811767,21855.97021484375,tapt,arxiv,lsh_h2_c128,hu06m597,E2_pretraining_wikipedia_bertsmall_lsh_h2_c128,10888.843224079,1088.8843224079,2.277830253350321,21848.34521484375,pretrain,xf2puymg,E2_finetuning_arxiv_bertsmall_lsh_h2_c128,7525.100943634,1881.2752359085,87.29982017339883,12174.62646484375,finetune,11.889283657073975,21.34372091293335,21.33627462387085,125.41834906056667,87.17402002596667,181.4807204013167,18.14807204013167,43.587010012983335,31.354587265141667,212.59236908653332,21.34372091293335,47.74167215376637,-41.07391251917546,-1.0799608532872327,3.6798201733988236,47.7652775162954,130.2786237838942
kb5ewjpp,E2_pretraining_arxiv_bertsmall_lsh_h2_c64,4578.586052527,2289.2930262635,2.2999133646469705,19551.52685546875,tapt,arxiv,lsh_h2_c64,eudij3yf,E2_pretraining_wikipedia_bertsmall_lsh_h2_c64,7647.912501086,764.7912501086,2.3447094036548393,19543.76513671875,pretrain,ebmfez6l,E2_finetuning_arxiv_bertsmall_lsh_h2_c64,6224.09112851,1556.0227821275,86.89649465252504,9389.609375,finetune,9.169540405273438,19.0932879447937,19.085708141326904,103.73485214183333,76.30976754211666,127.46520835143333,12.746520835143334,38.15488377105833,25.933713035458332,180.04461968394997,19.0932879447937,32.16412917805001,-50.09545706868804,-1.4832863741610254,3.276494652525031,32.17888360618335,61.73901389958583
7olzfob3,E2_pretraining_arxiv_bertsmall_lsh_h4_c128,7900.804412992,3950.402206496,2.023961989800211,29580.39501953125,tapt,arxiv,lsh_h4_c128,0e2zxgor,E2_pretraining_wikipedia_bertsmall_lsh_h4_c128,17036.511550402,1703.6511550402,2.248215781539997,29574.15185546875,pretrain,wqah0rrq,E2_finetuning_arxiv_bertsmall_lsh_h4_c128,12944.441540335,3236.11038508375,87.40426849543393,21973.81982421875,finetune,21.458808422088623,28.887104511260986,28.8810076713562,215.74069233891666,131.68007354986668,283.94185917336665,28.394185917336664,65.84003677493334,53.935173084729165,347.4207658887833,28.887104511260986,99.95712751229759,-3.702345802052043,-0.9755125312521358,3.7842684954339205,100.01664717671181,260.2902854941983
9hb1xk49,E2_pretraining_arxiv_bertsmall_lsh_h4_c64,6600.884504462,3300.442252231,2.072414575669424,24974.40087890625,tapt,arxiv,lsh_h4_c64,wi223o9o,E2_pretraining_wikipedia_bertsmall_lsh_h4_c64,10765.664537115,1076.5664537115001,2.2858271348377306,24964.15185546875,pretrain,v0prpm6r,E2_finetuning_arxiv_bertsmall_lsh_h4_c64,10335.925939799,2583.98148494975,86.6779107848951,16404.60498046875,finetune,16.020122051239014,24.389063358306885,24.3790545463562,172.26543232998335,110.01474174103333,179.42774228525002,17.942774228525003,55.00737087051667,43.06635808249584,282.2801740710167,24.389063358306885,68.82159476874453,-21.757933726019292,-1.7018702417909566,3.0579107848950997,68.8381793041282,127.6736254447822
jibomvsj,E1_pretraining_arxiv_bertsmall_mha,8411.599250611,4205.7996253055,1.6721654178956435,14793.36865234375,tapt,arxiv,mha,hd228t3k,E1_pretraining_wikipedia_bertsmall_mha,4728.551458731,472.8551458731,2.1568171624250945,14785.84521484375,pretrain,ied1ulsn,E1_finetuning_arxiv_bertsmall_mha_f1_d0.2_mean,13235.081685643,3308.77042141075,88.37978102668606,3524.0244140625,finetune,3.44143009185791,14.446649074554443,14.43930196762085,220.58469476071664,140.19332084351666,78.80919097885,7.880919097885,70.09666042175833,55.14617369017916,360.7780156042333,14.446649074554443,0.0,0.0,0.0,4.759781026686056,0.0,0.0
tzihl99m,E2_pretraining_hyperpartisan_bertsmall_favor_nb0.125,5584.716981223,930.7861635371668,4.505260610835233,16990.05029296875,tapt,hyperpartisan,favor_nb0.125,z28fmtgo,E2_pretraining_wikipedia_bertsmall_favor_nb0.125,6593.419116918,659.3419116918001,3.0694842641878104,17017.97607421875,pretrain,xhbujbys,E2_finetuning_hyperpartisan_bertsmall_favor_nb0.125,3936.268652144,562.3240931634285,53.40710252127575,5727.8544921875,finetune,5.5936079025268555,16.591845989227295,16.619117259979248,65.60447753573334,93.07861635371667,109.8903186153,10.989031861530002,15.513102725619445,9.372068219390476,158.68309388945,16.591845989227295,14.905592356205382,-7.855353298706345,-11.142997048435227,11.17710252127575,15.096403532847264,39.438455401466115
